ServerSubCategory,FriendlyName,modernisation_candidate,modernisation_treatment,default_flag,modernisation_strategy,modernisation_complexity,applicable_treatment,complexity_score,migration_goal_category,combo_flag,light_modernisation_id,modernisation_focused_id,key_benefits,modernisation_candidate_description,modernisation_candidate_logo
Microsoft .NET Framework,.NET Framework 3.5,Azure App Service,.NET Framework 3.5-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 3.5,Azure Kubernetes Service,.NET Framework 3.5-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 3.5,Azure Container Instances,.NET Framework 3.5-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 3.5,Eliminate,Eliminate .NET Framework 3.5,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 3.5,IaaS,.NET Framework 3.5-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 3.5,Azure Container Apps,.NET Framework 3.5-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4,Azure App Service,.NET Framework 4-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4,Azure Kubernetes Service,.NET Framework 4-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4,Azure Container Instances,.NET Framework 4-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4,Eliminate,Eliminate .NET Framework 4,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4,IaaS,.NET Framework 4-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4,Azure Container Apps,.NET Framework 4-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.5,Azure App Service,.NET Framework 4.5-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.5,Azure Kubernetes Service,.NET Framework 4.5-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.5,Azure Container Instances,.NET Framework 4.5-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.5,Eliminate,Eliminate .NET Framework 4.5,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4.5,IaaS,.NET Framework 4.5-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4.5,Azure Container Apps,.NET Framework 4.5-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.6,Azure App Service,.NET Framework 4.6-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.6,Azure Kubernetes Service,.NET Framework 4.6-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.6,Azure Container Instances,.NET Framework 4.6-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework,.NET Framework 4.6,Eliminate,Eliminate .NET Framework 4.6,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4.6,IaaS,.NET Framework 4.6-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework,.NET Framework 4.6,Azure Container Apps,.NET Framework 4.6-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.7,.NET Framework 4.7,Azure App Service,.NET Framework 4.7-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.7,.NET Framework 4.7,Azure Kubernetes Service,.NET Framework 4.7-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.7,.NET Framework 4.7,Azure Container Instances,.NET Framework 4.7-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.7,.NET Framework 4.7,Eliminate,Eliminate .NET Framework 4.7,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework 4.7,.NET Framework 4.7,IaaS,.NET Framework 4.7-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework 4.7,.NET Framework 4.7,Azure Container Apps,.NET Framework 4.7-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.8,.NET Framework 4.8,Azure App Service,.NET Framework 4.8-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Supports .NET Framework but may require updates to the latest version.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.8,.NET Framework 4.8,Azure Kubernetes Service,.NET Framework 4.8-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,"Containerized .NET Framework apps can run here, but require containerization and orchestration setup.","Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.8,.NET Framework 4.8,Azure Container Instances,.NET Framework 4.8-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft .NET Framework 4.8,.NET Framework 4.8,Eliminate,Eliminate .NET Framework 4.8,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework 4.8,.NET Framework 4.8,IaaS,.NET Framework 4.8-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft .NET Framework 4.8,.NET Framework 4.8,Azure Container Apps,.NET Framework 4.8-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft Access Database,Access,Power Apps,Access-to-Power Apps,1,PaaS,Medium,Replatform/Refactor,3,database_interest,0,292,293,Low-code app development platform with Salesforce integration support.,Low‑code application development platform for building custom business apps.,
Microsoft Access Database,Access,Dataverse,Access-to-Dataverse,0,PaaS,Easy,Replatform/Refactor,2,,0,,,Suitable for low-code apps with relational data needs; integrates with Power Platform and Office 365.,Data platform for storing and managing structured business data used by Power Apps and Dynamics 365.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft Access Database,Access,Azure SQL,Access-to-Azure SQL,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Azure SQL PaaS - Fully managed SQL service with built-in scalability and high availability.,Family of managed SQL services including Azure SQL Database and SQL Managed Instance.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Microsoft Access Database,Access,SQL Managed Instance,Access-to-SQL Managed Instance,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Managed SQL Server service offering almost complete compatibility with on-premise SQL Server features.,"Fully managed, scalable instance of SQL Server in the cloud with near 100% compatibility.",
Microsoft Access Database,Access,Eliminate,Eliminate Access,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Microsoft Access Database,Access,IaaS,Access-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Active Directory,Active Directory,Azure Active Directory,Active Directory-to-Azure Active Directory,1,PaaS,Medium,Replace,1,it_tool_interest,0,288,289,Cloud-based directory services with user and group management.,"Cloud identity and access management service (now Microsoft Entra ID) for users, apps and resources.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Active Directory Certificate Services,Active Directory Certificate Services,Microsoft Cloud PKI,Active Directory Certificate Services-to-Microsoft Cloud PKI,0,PaaS,Medium,Replace,3,,1,,,Cloud-based service that simplifies and automates certificate lifecycle management for Intune-managed devices.,Managed public key infrastructure service for issuing and managing digital certificates for devices and users.,
Active Directory Certificate Services,Active Directory Certificate Services,Microsoft Entra ID Certificate Services,Active Directory Certificate Services-to-Microsoft Entra ID Certificate Services,1,PaaS,Medium,Replace,3,security_importance,1,300,301,"Centralized certificate management, secure key storage, and certificate issuance.",Certificate-based authentication for managed identities in Microsoft Entra ID.,https://drmigrate.blob.core.windows.net/drmimages/Microsoft_Entra_ID.png
Ansible,Ansible,Azure Desired State Configuration,Ansible-to-Azure Desired State Configuration,1,PaaS,Medium,Replace,0,,0,,,"This service enables scalability across thousands of machines quickly and easily from a central, secure location.",Configuration management service ensuring servers remain in a specified state using PowerShell DSC.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache ActiveMQ,Apache ActiveMQ,Azure Service Bus,Apache ActiveMQ-to-Azure Service Bus,1,PaaS,Easy,Replatform/Refactor,2,web_approach,0,304,305,Fully managed messaging service with queue and topic support.,Fully managed enterprise message broker with queues and topics for decoupling applications.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache HTTP,Apache HTTP,Azure App Service,Apache HTTP-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Managed hosting for web applications; some configuration needed.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache HTTP,Apache HTTP,Azure Kubernetes Service,Apache HTTP-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,A fully managed Kubernetes service that simplifies cluster management and reduces operational overhead.,"Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache HTTP,Apache HTTP,Azure Container Instances,Apache HTTP-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache HTTP,Apache HTTP,Eliminate,Eliminate Apache HTTP,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Apache HTTP,Apache HTTP,IaaS,Apache HTTP-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Apache HTTP,Apache HTTP,Azure Container Apps,Apache HTTP-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Solr,Apache Solr,Azure Cognitive Search,Apache Solr-to-Azure Cognitive Search,1,PaaS,Medium,Replatform/Refactor,3,database_interest,0,292,293,"Fully managed, AI-powered search with indexing and querying similar to Solr.","Cloud search service with built‑in AI to ingest, enrich, index and query content.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Synapse,Apache Synapse,Azure Synapse Analytics,Apache Synapse-to-Azure Synapse Analytics,1,PaaS,Easy,Replatform/Refactor,2,web_approach,0,304,305,"Managed big data analytics, includes Spark, SQL and pipelines.",Unified analytics service that brings together big data and data warehousing.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Tomcat,Apache Tomcat,Azure App Service,Apache Tomcat-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Fully managed service with built-in Tomcat support.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Tomcat,Apache Tomcat,Azure Kubernetes Service,Apache Tomcat-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,A fully managed Kubernetes service that simplifies cluster management and reduces operational overhead.,"Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Tomcat,Apache Tomcat,Azure Container Instances,Apache Tomcat-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Tomcat,Apache Tomcat,Eliminate,Eliminate Apache Tomcat,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Apache Tomcat,Apache Tomcat,IaaS,Apache Tomcat-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Apache Tomcat,Apache Tomcat,Azure Container Apps,Apache Tomcat-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Tomcat 10,Apache Tomcat 10,Azure App Service,Apache Tomcat 10-to-Azure App Service,1,PaaS,Medium,Replatform/Refactor,2,web_approach,0,304,,Fully managed service with built-in Tomcat support.,"Managed platform for hosting web apps, REST APIs and mobile backends in Azure.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Tomcat 10,Apache Tomcat 10,Azure Kubernetes Service,Apache Tomcat 10-to-Azure Kubernetes Service,0,PaaS,Hard,Replatform/Refactor,3,web_approach,0,,305,A fully managed Kubernetes service that simplifies cluster management and reduces operational overhead.,"Managed Kubernetes service for deploying, scaling and managing containerized applications.",https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Tomcat 10,Apache Tomcat 10,Azure Container Instances,Apache Tomcat 10-to-Azure Container Instances,0,PaaS,Hard,Replatform/Refactor,3,,0,,,Serverless container deployment with minimal configuration and overhead.,Run containers in the cloud without managing servers or clusters.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
Apache Tomcat 10,Apache Tomcat 10,Eliminate,Eliminate Apache Tomcat 10,0,Eliminate,Easy,Replatform/Refactor,0,,0,,,,,
Apache Tomcat 10,Apache Tomcat 10,IaaS,Apache Tomcat 10-to-IaaS,0,IaaS,Easy,Replatform/Refactor,0,,0,,,,,
Apache Tomcat 10,Apache Tomcat 10,Azure Container Apps,Apache Tomcat 10-to-Azure Container Apps,0,PaaS,Medium,Replace,3,,,,,Azure Container Apps is a serverless platform that allows you to maintain less infrastructure and save costs while running containerized applications.,Serverless container service for running microservices and background tasks without managing infrastructure.,https://drmigrate.blob.core.windows.net/drmimages/Azure.png
